text,sentiment
"Mediocre restaurant, I expected more given the price.",negative
"I received the app yesterday, still testing it out.",neutral
This headphones looks similar to the previous model with minor changes.,neutral
"Somewhat let down by this backpack, packaging was fine but the product itself is meh.",negative
The service works flawlessly and the design is beautiful.,positive
"Poor build quality on this speaker, feels cheap and flimsy.",negative
"Happy with the camera, it does the job nicely.",positive
"I am still using the camera, will update my review later.",neutral
Not perfect but this camera works well and I am pleased.,positive
The coffee maker comes in a simple box with the usual accessories.,positive
"I received the backpack yesterday, still testing it out.",neutral
"I absolutely love this app, it exceeded all my expectations!",positive
"Mediocre course, I expected more given the price.",negative
"Do not waste your money on this blender, it is defective.",negative
"Pretty good service overall, I do not have many complaints.",positive
"Awful experience, this laptop failed to meet even basic expectations.",negative
"I am so satisfied with this hotel, five stars all the way.",positive
"The headphones malfunctioned right out of the box, very annoying.",negative
"Fantastic experience with this course, will definitely buy again.",positive
"Overall the hotel is average, matches the product description.",neutral
"Excellent quality watch, worth every rupee spent.",positive
"The laptop malfunctioned right out of the box, very annoying.",negative
"This shoes is decent for daily use, works okay so far.",negative
"I received the course yesterday, still testing it out.",neutral
"Worst watch I have ever purchased, would not recommend at all.",negative
"This course made my life so much easier, truly impressed.",positive
"This watch works as expected, no major complaints.",neutral
"Poor build quality on this hotel, feels cheap and flimsy.",negative
Not perfect but this service works well and I am pleased.,positive
"Very unhappy with this headphones, it arrived damaged and useless.",negative
This hotel is a fantastic addition to my daily routine.,positive
"The book is acceptable, does the basic job without issues.",neutral
"It is an average blender, works but nothing stands out.",neutral
"Do not waste your money on this laptop, it is defective.",negative
"The watch seems fine, some parts are good and some could improve.",neutral
"This laptop made my life so much easier, truly impressed.",positive
"Terrible customer service and a defective restaurant, never buying again.",negative
The restaurant comes in a simple box with the usual accessories.,neutral
"I am still using the hotel, will update my review later.",neutral
"I absolutely love this restaurant, it exceeded all my expectations!",positive
"Pretty good app overall, I do not have many complaints.",positive
"Fantastic experience with this shoes, will definitely buy again.",positive
"This phone is a complete disaster, does not work as advertised.",negative
"Disappointing blender, the performance is laggy and unreliable.",negative
"I received the service yesterday, still testing it out.",neutral
"Happy with the coffee maker, it does the job nicely.",positive
This movie looks similar to the previous model with minor changes.,neutral
"The service is okay, nothing special but does the job.",neutral
"This watch made my life so much easier, truly impressed.",positive
"Best coffee maker I have ever bought, highly recommend it to everyone.",positive
Wonderful shoes! Fast delivery and top notch performance.,positive
"This camera is amazing, works perfectly and looks great.",positive
"This service is amazing, works perfectly and looks great.",positive
"This watch is horrible, the worst purchase decision I made.",negative
"The jacket arrived on time and performs wonderfully, very happy.",positive
"The blender malfunctioned right out of the box, very annoying.",negative
"Great value for money, this blender is simply outstanding.",positive
"The game console malfunctioned right out of the box, very annoying.",negative
"I am still using the monitor, will update my review later.",neutral
"The blender seems fine, some parts are good and some could improve.",neutral
"The speaker is overpriced for such low quality, big regret.",negative
"The monitor malfunctioned right out of the box, very annoying.",negative
"The jacket is okay, nothing special but does the job.",neutral
"Fantastic experience with this book, will definitely buy again.",positive
"Poor build quality on this jacket, feels cheap and flimsy.",negative
Wonderful movie! Fast delivery and top notch performance.,positive
"This laptop broke down within a week, terrible quality.",negative
"The speaker seems fine, some parts are good and some could improve.",neutral
"The app malfunctioned right out of the box, very annoying.",negative
Not perfect but this hotel works well and I am pleased.,negative
"This movie made my life so much easier, truly impressed.",positive
"The movie is fine, does what it says, nothing more nothing less.",neutral
"Superb build quality on this speaker, customer support was also great.",positive
The backpack comes in a simple box with the usual accessories.,neutral
"Do not waste your money on this blender, it is defective.",negative
"The coffee maker is decent and does what I hoped, quite happy.",positive
"The blender malfunctioned right out of the box, very annoying.",negative
The backpack works flawlessly and the design is beautiful.,positive
"Mediocre hotel, I expected more given the price.",negative
"Somewhat let down by this course, packaging was fine but the product itself is meh.",negative
"The speaker arrived in a standard package, nothing noteworthy.",neutral
"Happy with the jacket, it does the job nicely.",positive
"Superb build quality on this backpack, customer support was also great.",positive
"This game console made my life so much easier, truly impressed.",neutral
The blender comes in a simple box with the usual accessories.,neutral
"The speaker arrived in a standard package, nothing noteworthy.",neutral
"The speaker is fine, does what it says, nothing more nothing less.",negative
"This monitor broke down within a week, terrible quality.",neutral
The watch works flawlessly and the design is beautiful.,positive
The shoes is okay-ish but has some annoying issues.,negative
"The headphones is fine for the price, neither great nor bad.",neutral
"Fantastic experience with this speaker, will definitely buy again.",positive
"Superb build quality on this speaker, customer support was also great.",positive
"The watch has average features, similar to other products in this range.",neutral
"The jacket has average features, similar to other products in this range.",neutral
"The jacket is fine, does what it says, nothing more nothing less.",neutral
"The restaurant is fine, does what it says, nothing more nothing less.",neutral
"I regret buying this laptop, it is simply not worth it.",negative
"Poor build quality on this restaurant, feels cheap and flimsy.",negative
"This phone broke down within a week, terrible quality.",negative
"Awful experience, this course failed to meet even basic expectations.",negative
This headphones looks similar to the previous model with minor changes.,neutral
"This book is amazing, works perfectly and looks great.",positive
"Impressive backpack, exceeded my expectations by a huge margin.",positive
"This blender works as expected, no major complaints.",neutral
"Disappointing speaker, the performance is laggy and unreliable.",negative
"The hotel seems fine, some parts are good and some could improve.",neutral
"Awful experience, this course failed to meet even basic expectations.",negative
"It is an average monitor, works but nothing stands out.",neutral
"I regret buying this camera, it is simply not worth it.",negative
"The backpack seems fine, some parts are good and some could improve.",neutral
"Awful experience, this app failed to meet even basic expectations.",negative
"Do not waste your money on this course, it is defective.",negative
This shoes is a fantastic addition to my daily routine.,positive
"I am extremely disappointed with this movie, total waste of money.",negative
"The course arrived on time and performs wonderfully, very happy.",positive
"The camera is acceptable, does the basic job without issues.",neutral
"This speaker is amazing, works perfectly and looks great.",positive
The shoes is okay-ish but has some annoying issues.,negative
"Mediocre service, I expected more given the price.",negative
"Overall the headphones is average, matches the product description.",neutral
"The camera is overpriced for such low quality, big regret.",negative
"I regret buying this app, it is simply not worth it.",negative
"Impressive book, exceeded my expectations by a huge margin.",positive
"The monitor functions fine, I have no strong opinion about it yet.",neutral
"I absolutely love this jacket, it exceeded all my expectations!",positive
"Do not waste your money on this app, it is defective.",negative
"The camera is fine, does what it says, nothing more nothing less.",neutral
"This monitor is a complete disaster, does not work as advertised.",negative
"Best movie I have ever bought, highly recommend it to everyone.",positive
"Superb build quality on this blender, customer support was also great.",positive
"The laptop is overpriced for such low quality, big regret.",negative
The phone comes in a simple box with the usual accessories.,neutral
"This headphones is decent for daily use, works okay so far.",neutral
"Somewhat let down by this course, packaging was fine but the product itself is meh.",negative
"Worst course I have ever purchased, would not recommend at all.",negative
"It is a standard backpack, meets basic requirements.",neutral
"The course has average features, similar to other products in this range.",neutral
"The hotel is good, a bit pricey but still worth it.",positive
"This headphones works as expected, no major complaints.",neutral
"Just an ordinary restaurant, does what it says on the box.",neutral
"Superb build quality on this watch, customer support was also great.",positive
"Mediocre course, I expected more given the price.",negative
"Awful experience, this movie failed to meet even basic expectations.",negative
"Pretty good hotel overall, I do not have many complaints.",positive
Wonderful speaker! Fast delivery and top notch performance.,positive
"This laptop works as expected, no major complaints.",neutral
"I absolutely love this game console, it exceeded all my expectations!",positive
"Great value for money, this game console is simply outstanding.",neutral
"This book made my life so much easier, truly impressed.",positive
"I absolutely love this blender, it exceeded all my expectations!",positive
"This restaurant was delivered on the estimated date, packaging was normal.",neutral
"This movie broke down within a week, terrible quality.",negative
"Best blender I have ever bought, highly recommend it to everyone.",positive
"The jacket is fine for the price, neither great nor bad.",neutral
"Disappointing backpack, the performance is laggy and unreliable.",negative
"Disappointing jacket, the performance is laggy and unreliable.",negative
"Overall the camera is average, matches the product description.",neutral
"I am extremely disappointed with this backpack, total waste of money.",negative
"The course is fine, does what it says, nothing more nothing less.",neutral
Not perfect but this watch works well and I am pleased.,positive
"It is an average jacket, works but nothing stands out.",neutral
"Great value for money, this shoes is simply outstanding.",positive
"This hotel made my life so much easier, truly impressed.",positive
"This laptop made my life so much easier, truly impressed.",positive
"Superb build quality on this service, customer support was also great.",positive
This shoes is a fantastic addition to my daily routine.,positive
The restaurant works but honestly it is not that good.,negative
"Poor build quality on this hotel, feels cheap and flimsy.",negative
"This book is horrible, the worst purchase decision I made.",negative
"Impressive jacket, exceeded my expectations by a huge margin.",positive
"This shoes was delivered on the estimated date, packaging was normal.",neutral
"Best phone I have ever bought, highly recommend it to everyone.",positive
This course is a fantastic addition to my daily routine.,positive
"Poor build quality on this shoes, feels cheap and flimsy.",negative
The hotel is okay-ish but has some annoying issues.,negative
"Overall the headphones is average, matches the product description.",neutral
"Very unhappy with this hotel, it arrived damaged and useless.",negative
"Loved every bit of this game console, it is genuinely wonderful.",positive
"Very unhappy with this course, it arrived damaged and useless.",negative
"I am so satisfied with this phone, five stars all the way.",positive
"Awful experience, this monitor failed to meet even basic expectations.",negative
The course is okay-ish but has some annoying issues.,negative
The app is okay-ish but has some annoying issues.,negative
"Superb build quality on this game console, customer support was also great.",positive
"The hotel is okay, nothing special but does the job.",neutral
"I am still using the speaker, will update my review later.",neutral
"Best restaurant I have ever bought, highly recommend it to everyone.",positive
"Superb build quality on this restaurant, customer support was also great.",positive
"The movie is decent and does what I hoped, quite happy.",positive
"This app is decent for daily use, works okay so far.",neutral
"Fantastic experience with this hotel, will definitely buy again.",positive
"This jacket is horrible, the worst purchase decision I made.",negative
"The book malfunctioned right out of the box, very annoying.",negative
Wonderful monitor! Fast delivery and top notch performance.,positive
"Do not waste your money on this game console, it is defective.",negative
"Mediocre hotel, I expected more given the price.",negative
"I am so satisfied with this book, five stars all the way.",positive
"I am extremely disappointed with this course, total waste of money.",negative
"This phone is amazing, works perfectly and looks great.",positive
"Great value for money, this blender is simply outstanding.",positive
"The backpack malfunctioned right out of the box, very annoying.",negative
"Poor build quality on this laptop, feels cheap and flimsy.",neutral
"The hotel is good, a bit pricey but still worth it.",positive
"The watch functions fine, I have no strong opinion about it yet.",neutral
"The speaker is fine for the price, neither great nor bad.",neutral
"Loved every bit of this jacket, it is genuinely wonderful.",positive
Wonderful movie! Fast delivery and top notch performance.,positive
The blender is okay-ish but has some annoying issues.,negative
"Fantastic experience with this blender, will definitely buy again.",positive
"Worst speaker I have ever purchased, would not recommend at all.",negative
"Impressive service, exceeded my expectations by a huge margin.",positive
"Great value for money, this app is simply outstanding.",positive
Not perfect but this blender works well and I am pleased.,positive
"This service is amazing, works perfectly and looks great.",positive
The movie comes in a simple box with the usual accessories.,neutral
"Excellent quality game console, worth every rupee spent.",positive
"I am so satisfied with this jacket, five stars all the way.",positive
"This service made my life so much easier, truly impressed.",positive
"Impressive game console, exceeded my expectations by a huge margin.",positive
"This book was delivered on the estimated date, packaging was normal.",neutral
Wonderful book! Fast delivery and top notch performance.,positive
The course works but honestly it is not that good.,negative
"This game console was delivered on the estimated date, packaging was normal.",neutral
This camera is a fantastic addition to my daily routine.,positive
"The backpack is decent and does what I hoped, quite happy.",positive
The coffee maker is okay-ish but has some annoying issues.,negative
"Mediocre blender, I expected more given the price.",negative
The camera works but honestly it is not that good.,negative
"This restaurant is horrible, the worst purchase decision I made.",negative
"This speaker broke down within a week, terrible quality.",negative
"Overall the coffee maker is average, matches the product description.",neutral
"The book is decent and does what I hoped, quite happy.",positive
"Great value for money, this headphones is simply outstanding.",positive
This course is a fantastic addition to my daily routine.,positive
"Awful experience, this headphones failed to meet even basic expectations.",negative
"The backpack has average features, similar to other products in this range.",neutral
Not perfect but this service works well and I am pleased.,positive
"This coffee maker is decent for daily use, works okay so far.",neutral
"The camera is not great, a bit slow and could be better.",neutral
"The shoes is fine, does what it says, nothing more nothing less.",neutral
"Poor build quality on this jacket, feels cheap and flimsy.",negative
"I regret buying this headphones, it is simply not worth it.",negative
"The course is overpriced for such low quality, big regret.",negative
"Worst service I have ever purchased, would not recommend at all.",negative
"The camera is overpriced for such low quality, big regret.",negative
Wonderful watch! Fast delivery and top notch performance.,positive
Not perfect but this course works well and I am pleased.,positive
"This game console is decent for daily use, works okay so far.",neutral
"The watch seems fine, some parts are good and some could improve.",neutral
"The service stopped working after two days, very frustrating experience.",negative
"The watch arrived on time and performs wonderfully, very happy.",positive
"The headphones is decent and does what I hoped, quite happy.",positive
"The service stopped working after two days, very frustrating experience.",positive
"Best book I have ever bought, highly recommend it to everyone.",positive
"Worst app I have ever purchased, would not recommend at all.",negative
"The backpack is overpriced for such low quality, big regret.",negative
"I received the backpack yesterday, still testing it out.",neutral
This coffee maker looks similar to the previous model with minor changes.,neutral
"Mediocre watch, I expected more given the price.",negative
"The coffee maker is acceptable, does the basic job without issues.",neutral
"Poor build quality on this app, feels cheap and flimsy.",negative
"The hotel is overpriced for such low quality, big regret.",negative
This backpack is a fantastic addition to my daily routine.,positive
"Impressive hotel, exceeded my expectations by a huge margin.",positive
The restaurant comes in a simple box with the usual accessories.,neutral
Wonderful phone! Fast delivery and top notch performance.,positive
"This app is decent for daily use, works okay so far.",neutral
This headphones is a fantastic addition to my daily routine.,positive
"Fantastic experience with this backpack, will definitely buy again.",positive
Not perfect but this course works well and I am pleased.,positive
"Fantastic experience with this camera, will definitely buy again.",positive
"The coffee maker is fine for the price, neither great nor bad.",neutral
"Disappointing monitor, the performance is laggy and unreliable.",negative
"The phone is overpriced for such low quality, big regret.",negative
"Just an ordinary hotel, does what it says on the box.",neutral
"The phone is good, a bit pricey but still worth it.",positive
"Poor build quality on this phone, feels cheap and flimsy.",negative
"Do not waste your money on this restaurant, it is defective.",negative
"The service arrived in a standard package, nothing noteworthy.",neutral
"This monitor works as expected, no major complaints.",neutral
"The game console is fine, does what it says, nothing more nothing less.",neutral
"The movie is fine, does what it says, nothing more nothing less.",neutral
"Loved every bit of this camera, it is genuinely wonderful.",positive
"Superb build quality on this jacket, customer support was also great.",positive
"Impressive phone, exceeded my expectations by a huge margin.",positive
"Worst headphones I have ever purchased, would not recommend at all.",negative
"Loved every bit of this laptop, it is genuinely wonderful.",positive
"This restaurant made my life so much easier, truly impressed.",positive
"The app is good, a bit pricey but still worth it.",neutral
"Great value for money, this coffee maker is simply outstanding.",positive
"The backpack arrived in a standard package, nothing noteworthy.",neutral
"Poor build quality on this backpack, feels cheap and flimsy.",negative
The speaker works but honestly it is not that good.,negative
"Excellent quality movie, worth every rupee spent.",positive
"The restaurant is overpriced for such low quality, big regret.",negative
Not perfect but this phone works well and I am pleased.,positive
Wonderful shoes! Fast delivery and top notch performance.,positive
"I am still using the monitor, will update my review later.",neutral
"Disappointing shoes, the performance is laggy and unreliable.",negative
This book is a fantastic addition to my daily routine.,positive
"The speaker is decent and does what I hoped, quite happy.",positive
"I absolutely love this service, it exceeded all my expectations!",positive
"The restaurant is fine, does what it says, nothing more nothing less.",neutral
"Loved every bit of this watch, it is genuinely wonderful.",positive
The restaurant works but honestly it is not that good.,negative
"The watch is acceptable, does the basic job without issues.",neutral
"The movie is decent and does what I hoped, quite happy.",positive
The service comes in a simple box with the usual accessories.,neutral
"This headphones works as expected, no major complaints.",neutral
Wonderful restaurant! Fast delivery and top notch performance.,negative
"It is an average headphones, works but nothing stands out.",neutral
"Worst headphones I have ever purchased, would not recommend at all.",negative
This blender is a fantastic addition to my daily routine.,positive
"Mediocre speaker, I expected more given the price.",negative
"Pretty good game console overall, I do not have many complaints.",neutral
"The phone has average features, similar to other products in this range.",neutral
"Great value for money, this app is simply outstanding.",positive
"Somewhat let down by this phone, packaging was fine but the product itself is meh.",negative
"Impressive course, exceeded my expectations by a huge margin.",positive
"This backpack works as expected, no major complaints.",neutral
"The hotel is decent and does what I hoped, quite happy.",positive
"Pretty good monitor overall, I do not have many complaints.",positive
"It is an average restaurant, works but nothing stands out.",neutral
"The backpack arrived on time and performs wonderfully, very happy.",positive
"I regret buying this jacket, it is simply not worth it.",negative
The service is okay-ish but has some annoying issues.,negative
"Loved every bit of this speaker, it is genuinely wonderful.",positive
"This shoes works as expected, no major complaints.",neutral
"Poor build quality on this monitor, feels cheap and flimsy.",negative
"The game console is not great, a bit slow and could be better.",positive
"Excellent quality coffee maker, worth every rupee spent.",positive
"Terrible customer service and a defective laptop, never buying again.",negative
"The backpack is acceptable, does the basic job without issues.",neutral
"The camera is decent and does what I hoped, quite happy.",positive
"The monitor is fine for the price, neither great nor bad.",neutral
"Impressive coffee maker, exceeded my expectations by a huge margin.",positive
This watch is a fantastic addition to my daily routine.,positive
"This shoes is amazing, works perfectly and looks great.",positive
Wonderful blender! Fast delivery and top notch performance.,positive
"Pretty good blender overall, I do not have many complaints.",positive
"This book works as expected, no major complaints.",neutral
"Very unhappy with this movie, it arrived damaged and useless.",negative
Not perfect but this hotel works well and I am pleased.,negative
"I regret buying this shoes, it is simply not worth it.",negative
"Do not waste your money on this movie, it is defective.",negative
"The coffee maker seems fine, some parts are good and some could improve.",neutral
"The speaker is acceptable, does the basic job without issues.",neutral
"The course stopped working after two days, very frustrating experience.",negative
"The phone has a manual included, setup was straightforward.",neutral
"This phone broke down within a week, terrible quality.",negative
"Worst camera I have ever purchased, would not recommend at all.",negative
"The hotel is okay, nothing special but does the job.",neutral
"The hotel seems fine, some parts are good and some could improve.",neutral
"Awful experience, this coffee maker failed to meet even basic expectations.",negative
"Best laptop I have ever bought, highly recommend it to everyone.",positive
"This blender was delivered on the estimated date, packaging was normal.",neutral
"I absolutely love this book, it exceeded all my expectations!",positive
"The course malfunctioned right out of the box, very annoying.",negative
"Overall the hotel is average, matches the product description.",neutral
"This app made my life so much easier, truly impressed.",negative
"Best jacket I have ever bought, highly recommend it to everyone.",positive
"The backpack arrived on time and performs wonderfully, very happy.",positive
Not perfect but this coffee maker works well and I am pleased.,positive
"This book is amazing, works perfectly and looks great.",positive
The restaurant is okay-ish but has some annoying issues.,positive
"Best book I have ever bought, highly recommend it to everyone.",positive
This movie is a fantastic addition to my daily routine.,positive
"Terrible customer service and a defective phone, never buying again.",negative
"The laptop is fine, does what it says, nothing more nothing less.",neutral
"I regret buying this shoes, it is simply not worth it.",negative
"Very unhappy with this watch, it arrived damaged and useless.",negative
"This book is amazing, works perfectly and looks great.",positive
"The app arrived on time and performs wonderfully, very happy.",positive
"The blender arrived on time and performs wonderfully, very happy.",positive
"The service stopped working after two days, very frustrating experience.",negative
The restaurant works but honestly it is not that good.,negative
"This shoes is decent for daily use, works okay so far.",neutral
"Best shoes I have ever bought, highly recommend it to everyone.",positive
"Happy with the service, it does the job nicely.",positive
"The jacket is decent and does what I hoped, quite happy.",positive
"The hotel functions fine, I have no strong opinion about it yet.",neutral
"I absolutely love this watch, it exceeded all my expectations!",positive
"The movie is not great, a bit slow and could be better.",negative
"Loved every bit of this book, it is genuinely wonderful.",positive
"Somewhat let down by this monitor, packaging was fine but the product itself is meh.",negative
"I am extremely disappointed with this movie, total waste of money.",negative
"Worst laptop I have ever purchased, would not recommend at all.",negative
"This blender is amazing, works perfectly and looks great.",positive
"This jacket made my life so much easier, truly impressed.",positive
"Happy with the book, it does the job nicely.",positive
"This headphones made my life so much easier, truly impressed.",positive
"This jacket was delivered on the estimated date, packaging was normal.",neutral
"Best speaker I have ever bought, highly recommend it to everyone.",positive
Wonderful restaurant! Fast delivery and top notch performance.,positive
"The jacket arrived on time and performs wonderfully, very happy.",positive
This course looks similar to the previous model with minor changes.,neutral
"The shoes malfunctioned right out of the box, very annoying.",negative
"This backpack is decent for daily use, works okay so far.",neutral
"Just an ordinary game console, does what it says on the box.",neutral
"Mediocre shoes, I expected more given the price.",negative
"The jacket is overpriced for such low quality, big regret.",negative
"Happy with the shoes, it does the job nicely.",positive
"The laptop is okay, nothing special but does the job.",positive
The phone works but honestly it is not that good.,negative
"Loved every bit of this restaurant, it is genuinely wonderful.",positive
"I received the shoes yesterday, still testing it out.",neutral
"Excellent quality restaurant, worth every rupee spent.",positive
"I regret buying this blender, it is simply not worth it.",negative
"I regret buying this service, it is simply not worth it.",negative
"This hotel is decent for daily use, works okay so far.",neutral
"Excellent quality blender, worth every rupee spent.",positive
"I absolutely love this monitor, it exceeded all my expectations!",positive
"Poor build quality on this hotel, feels cheap and flimsy.",negative
"Impressive hotel, exceeded my expectations by a huge margin.",positive
"Loved every bit of this speaker, it is genuinely wonderful.",positive
Not perfect but this movie works well and I am pleased.,positive
The headphones works but honestly it is not that good.,negative
This laptop looks similar to the previous model with minor changes.,neutral
"This hotel made my life so much easier, truly impressed.",positive
"The book is acceptable, does the basic job without issues.",neutral
"Disappointing game console, the performance is laggy and unreliable.",negative
"Overall the movie is average, matches the product description.",neutral
"Very unhappy with this restaurant, it arrived damaged and useless.",negative
This coffee maker looks similar to the previous model with minor changes.,neutral
"This monitor broke down within a week, terrible quality.",negative
"The movie arrived on time and performs wonderfully, very happy.",positive
"The coffee maker is overpriced for such low quality, big regret.",negative
This movie looks similar to the previous model with minor changes.,neutral
"Happy with the backpack, it does the job nicely.",positive
"I absolutely love this game console, it exceeded all my expectations!",positive
"Worst game console I have ever purchased, would not recommend at all.",negative
"Somewhat let down by this movie, packaging was fine but the product itself is meh.",negative
Wonderful watch! Fast delivery and top notch performance.,positive
"The monitor stopped working after two days, very frustrating experience.",negative
"This headphones is amazing, works perfectly and looks great.",positive
"The app has a manual included, setup was straightforward.",neutral
The camera works flawlessly and the design is beautiful.,positive
"Superb build quality on this backpack, customer support was also great.",positive
"The hotel stopped working after two days, very frustrating experience.",negative
Wonderful game console! Fast delivery and top notch performance.,positive
"This book made my life so much easier, truly impressed.",positive
"The blender stopped working after two days, very frustrating experience.",negative
"I am still using the movie, will update my review later.",neutral
"I am extremely disappointed with this restaurant, total waste of money.",negative
Wonderful restaurant! Fast delivery and top notch performance.,positive
"The watch is fine for the price, neither great nor bad.",negative
"This shoes was delivered on the estimated date, packaging was normal.",neutral
"I am so satisfied with this shoes, five stars all the way.",positive
"The app is overpriced for such low quality, big regret.",negative
"The camera stopped working after two days, very frustrating experience.",negative
Not perfect but this headphones works well and I am pleased.,positive
"The jacket arrived on time and performs wonderfully, very happy.",positive
"The jacket malfunctioned right out of the box, very annoying.",negative
"Do not waste your money on this game console, it is defective.",negative
"The course stopped working after two days, very frustrating experience.",negative
"The app is fine, does what it says, nothing more nothing less.",neutral
"Somewhat let down by this blender, packaging was fine but the product itself is meh.",negative
The app is okay-ish but has some annoying issues.,negative
"Best blender I have ever bought, highly recommend it to everyone.",positive
"Awful experience, this hotel failed to meet even basic expectations.",negative
"Overall the movie is average, matches the product description.",neutral
"Disappointing coffee maker, the performance is laggy and unreliable.",negative
"Best service I have ever bought, highly recommend it to everyone.",positive
"This camera is decent for daily use, works okay so far.",neutral
"Mediocre app, I expected more given the price.",negative
"The watch is acceptable, does the basic job without issues.",neutral
"The shoes stopped working after two days, very frustrating experience.",negative
"Do not waste your money on this service, it is defective.",negative
"Worst headphones I have ever purchased, would not recommend at all.",negative
"The backpack is acceptable, does the basic job without issues.",neutral
"Pretty good camera overall, I do not have many complaints.",positive
